Hero,Appeared With
"HOGAN, HAROLD J. HAP","MR. FANTASTIC/REED R, IRON MAN/TONY STARK , SPYMASTER/JAKE JORDA, GREEN GOBLIN/NORMAN , OSBORN, LIZ ALLAN, DR. STRANGE/STEPHEN , DAREDEVIL/MATT MURDO, SUNDOWN/DR. DAVE LOW, PARKER, MAY, SUB-MARINER/NAMOR MA, HULK/DR. ROBERT BRUC, WASP/JANET VAN DYNE , HUMAN TORCH/JOHNNY S, MCKEEVER, TINY, ANGEL/WARREN KENNETH, CAPTAIN AMERICA, MARVEL GIRL/JEAN GRE, ANT-MAN/DR. HENRY J., ICEMAN/ROBERT BOBBY , HOGAN, VIRGINIA PEPP, WONG, JAMESON, J. JONAH, IONELLO, JASON, LEEDS, BETTY BRANT, INVISIBLE WOMAN/SUE , THOMPSON, EUGENE FLA, THING/BENJAMIN J. GR, BEAST/HENRY &HANK& P, CYCLOPS/SCOTT SUMMER, IRON MAN IV/JAMES R., SPIDER-MAN/PETER PAR, THOR/DR. DONALD BLAK"
BATROC/GEORGES BATRO,"CARTER, SHARON, ZARAN/MAXIMILLIAN ZA, MACHETE/FERDINAND LO, MOCKINGBIRD/DR. BARB, HAWK, SILVER SABLE, CAPTAIN AMERICA"
"CARTER, SHARON","JARVIS, EDWIN , COUNT NEFARIA, LUCHI, MANNING, DR., DUGAN, TIMOTHY ALOYI, BATROC/GEORGES BATRO, RAMIREZ, ALMA, ZABU, SHANNA/SHANNA O'HARA, PLUNDER, ADAM KYLE M, KA-ZAR/KEVIN PLUNDER, FERRARI, CONNIE, RAMIREZ, JAVIER, FURY, COL. NICHOLAS , NIGHTMARE/EDVARD HAB, PROTOCIDE/PRIVATE CL, BILLUPS, AGENT, THOR/DR. DONALD BLAK, CAPTAIN AMERICA"
KARNILLA [ASGARDIAN],"ENCHANTRESS/AMORA/HE, LOKI [ASGARDIAN], NIGHTMARE/EDVARD HAB, HEIMDALL [ASGARDIAN]"
HEIMDALL [ASGARDIAN],"ENCHANTRESS/AMORA/HE, LOKI [ASGARDIAN], KARNILLA [ASGARDIAN], NIGHTMARE/EDVARD HAB"
ENCHANTRESS/AMORA/HE,"LOKI [ASGARDIAN], KARNILLA [ASGARDIAN], NIGHTMARE/EDVARD HAB, HEIMDALL [ASGARDIAN]"
LOKI [ASGARDIAN],"SIF, CASE, COL. PRESTON, COLLINS, DEMITRIUS, IRON MAN/TONY STARK , MAD VIKING/KNUT CAIN, BRADLEY, HANK, VOLLA, NIGHTMARE/EDVARD HAB, KINCAID, DR. JANE FO, HELA [ASGARDIAN], HULK/DR. ROBERT BRUC, WASP/JANET VAN DYNE , KARNILLA [ASGARDIAN], FAIRMONT, AMANDA MAN, CAPTAIN AMERICA, PERRIKUS, ENCHANTRESS/AMORA/HE, ANT-MAN/DR. HENRY J., DELPHI, HEIMDALL [ASGARDIAN], SCARLET WITCH/WANDA , DESTROYER III, HAWK, FAIRMONT, HANNAH, THOR/DR. DONALD BLAK"
NIGHTMARE/EDVARD HAB,"CARTER, SHARON, LOKI [ASGARDIAN], PHOBOS, NOX, DR. STRANGE/STEPHEN , D'SPAYRE, KARNILLA [ASGARDIAN], RINTRAH, DEIMOS, CAPTAIN AMERICA, CLEA, DUGAN, TIMOTHY ALOYI, WOLFE, SARA, SCARECROW II, ENCHANTRESS/AMORA/HE, CHANG, IMEI, HEIMDALL [ASGARDIAN], WONG, FEAR EATER/KKALLAKKU, LURKING UNKNOWN, DWELLER IN DARKNESS"
ZANIAC/BRAD WOLFE,THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,"CARTER, SHARON, DR. OCTOPUS/OTTO OCT, CASE, COL. PRESTON, PROTOCIDE/PRIVATE CL, VULTURE/ADRIAN TOOME, DAREDEVIL/MATT MURDO, PARKER, MAY, MOONDRAGON/HEATHER D, HARDY, MORGAN MACNEI, HUMAN TORCH/JOHNNY S, RAMIREZ, JAVIER, EGGHEAD/PROF. ELIHAS, IONELLO, JASON, TOKKOTS, BEAST/HENRY &HANK& P, SHE-HULK/JENNIFER WA, RICHARDS, FRANKLIN B, STINGER II/, STARFOX/EROS, COLLINS, DEMITRIUS, DIAMOND, CHUCKY, ARBOGAST, BAMBI, GALACTUS/GALAN, VOLLA, MASTERS, ALICIA REIS, SANDMAN/WILLIAM BAKE, KINCAID, DR. JANE FO, GRANT, GLORIA GLORY, SILVER SURFER/NORRIN, ANGEL/WARREN KENNETH, FAIRMONT, AMANDA MAN, WONDER MAN/SIMON WIL, TIGRA/GREER NELSON, BROMWELL, DR., MCCORMICK, BARRY, GHOST RIDER II/JOHNN, ICEMAN/ROBERT BOBBY , WONG, SCARLET WITCH/WANDA , DESTROYER III, CYCLOPS/SCOTT SUMMER, STARR, TRIXIE TRISH, MAJESTON ZELIA, BLACK PANTHER/T'CHAL, MOON KNIGHT/MARC SPE, IRON MAN/TONY STARK , JOCASTA, LOKI [ASGARDIAN], BRADLEY, HANK, FERRARI, CONNIE, DRAX/ARTHUR DOUGLAS, GREEN GOBLIN/NORMAN , FURY, COL. NICHOLAS , SUNDOWN/DR. DAVE LOW, SUB-MARINER/NAMOR MA, HULK/DR. ROBERT BRUC, ZANIAC/BRAD WOLFE, STANKOWICZ, FABIAN, MCKEEVER, TINY, WATSON, ANNA, PERRIKUS, ANT-MAN/DR. HENRY J., LEEDS, NED, NOVA II/FRANKIE RAYE, VISION , JAMESON, J. JONAH, MOLECULE MAN/OWEN RE, INVISIBLE WOMAN/SUE , THOMPSON, EUGENE FLA, THING/BENJAMIN J. GR, KINCAID, DR. KEITH, HAWK, KRAVEN THE HUNTER/SE, FAIRMONT, HANNAH, CAPTAIN MARVEL II/MO, BLACK WIDOW/NATASHA , MR. FANTASTIC/REED R, SIF, DAZZLER II/ALLISON B, BILLUPS, AGENT, OSBORN, LIZ ALLAN, DR. STRANGE/STEPHEN , HELA [ASGARDIAN], WASP/JANET VAN DYNE , ADVA, SOUTHERN, CANDY, CAPTAIN AMERICA, MARVEL GIRL/JEAN GRE, HERCULES [GREEK GOD], LEEDS, BETTY BRANT, ANNIHILUS, JARVIS, EDWIN , COUNT NEFARIA, LUCHI, SPIDER-MAN/PETER PAR, HOGAN, HAROLD J. HAP"
SONIC,"GRASP, SPIDER-WOMAN II/JULI, CARPENTER, RACHEL, IRON MAN/TONY STARK , CHAIN, HAWK, IRON MAN IV/JAMES R., CLEMSON, MIKE, COOPER, DR. VALERIE, CARPENTER, LARRY"
CHAIN,"GRASP, SPIDER-WOMAN II/JULI, SONIC, IRON MAN/TONY STARK , CARPENTER, RACHEL, HAWK, IRON MAN IV/JAMES R., COOPER, DR. VALERIE, CLEMSON, MIKE, CARPENTER, LARRY"
SPIDER-WOMAN II/JULI,"GRASP, SONIC, IRON MAN/TONY STARK , CARPENTER, RACHEL, CHAIN, HAWK, IRON MAN IV/JAMES R., COOPER, DR. VALERIE, CLEMSON, MIKE, CARPENTER, LARRY"
"CARPENTER, RACHEL","GRASP, SPIDER-WOMAN II/JULI, SONIC, IRON MAN/TONY STARK , CHAIN, HAWK, IRON MAN IV/JAMES R., COOPER, DR. VALERIE, CLEMSON, MIKE, CARPENTER, LARRY"
GRASP,"SPIDER-WOMAN II/JULI, SONIC, CARPENTER, RACHEL, IRON MAN/TONY STARK , CHAIN, HAWK, IRON MAN IV/JAMES R., COOPER, DR. VALERIE, CLEMSON, MIKE, CARPENTER, LARRY"
"CLEMSON, MIKE","GRASP, SPIDER-WOMAN II/JULI, SONIC, CARPENTER, RACHEL, IRON MAN/TONY STARK , CHAIN, HAWK, IRON MAN IV/JAMES R., COOPER, DR. VALERIE, CARPENTER, LARRY"
"COOPER, DR. VALERIE","GRASP, SPIDER-WOMAN II/JULI, SONIC, CARPENTER, RACHEL, IRON MAN/TONY STARK , CHAIN, HAWK, IRON MAN IV/JAMES R., CLEMSON, MIKE, CARPENTER, LARRY"
"CARPENTER, LARRY","GRASP, SPIDER-WOMAN II/JULI, SONIC, IRON MAN/TONY STARK , CARPENTER, RACHEL, CHAIN, HAWK, IRON MAN IV/JAMES R., CLEMSON, MIKE, COOPER, DR. VALERIE"
RED GUARDIAN III/DR.,"DEVIL-SLAYER/ERIC SI, ARCANNA/ARCANNA JONE, MAELSTROM/MALCOLM ST, NORRISS, SISTER BARB, EON, HELLCAT/PATSY WALKER, DR. STRANGE/STEPHEN , SHANGA, OVERMIND/GROM, KRONOS, GARFIELD, MURRAY, MOONDRAGON/HEATHER D, LORD CHAOS, HULK/DR. ROBERT BRUC, JAKAR, WHIZZER II/STANLEY S, HAYWIRE/, SERGEI, CHARM, QUASAR III/WENDELL V, HYPERION, POWER PRINCESS/ZARDA, EGO-PRIME, BALLANTINE, KAYLA, GARGOYLE II/ISAAC CH, 4-D MAN/MERCURIO, JACK OF HEARTS/JACK , BI-BEAST II, SHAPE, DRAGONFLY/VERONICA D, TANAKA, KENJIRO, LADY LARK/LINDA LEWI, NIGHTHAWK II/KYLE RI, MAKKARI/MIKE KHARY/I, BEAUTY, TRUTH, DR. SPECTRUM/JOSEPH , DOLLAR BILL, STARDUST/T'URIN G'AR, STRANGER"
DR. STRANGE/STEPHEN ,"FRANKENSURFER/BORGO, DEVIL-SLAYER/ERIC SI, FIRELORD/PYREUS KRIL, DAREDEVIL/MATT MURDO, PARKER, MAY, TOPAZ, MOONDRAGON/HEATHER D, RED GUARDIAN III/DR., AGAMOTTO, HUMAN TORCH/JOHNNY S, SERGEI, CLEA, WOLFE, SARA, SCARECROW II, PIP/PRINCE GOFERN, DR. DRUID/ANTHONY LU, CLEOPATRA, JACK OF HEARTS/JACK , GAMORA, IONELLO, JASON, MAKKARI/MIKE KHARY/I, BEAST/HENRY &HANK& P, DR. SPECTRUM/JOSEPH , LURKING UNKNOWN, SATANNISH, NORRISS, SISTER BARB, NOX, NIGHTMARE/EDVARD HAB, BARON BLOOD II/VICTO, KRONOS, GARFIELD, MURRAY, CAESAR, JULIUS, SILVER SURFER/NORRIN, WHIZZER II/STANLEY S, ANGEL/WARREN KENNETH, VON FRANKENSTEIN, BA, QUASAR III/WENDELL V, GARGOYLE II/ISAAC CH, ICEMAN/ROBERT BOBBY , WONG, MEPHISTO, SHAPE, SCARLET WITCH/WANDA , TANAKA, KENJIRO, ETERNITY/ADAM QADMON, CYCLOPS/SCOTT SUMMER, DOLLAR BILL, DWELLER IN DARKNESS, ARCANNA/ARCANNA JONE, MAELSTROM/MALCOLM ST, IRON MAN/TONY STARK , WARLOCK II/ADAM WARL, THANOS, PHOBOS, DRAX/ARTHUR DOUGLAS, GREEN GOBLIN/NORMAN , HELLCAT/PATSY WALKER, SUNDOWN/DR. DAVE LOW, SUB-MARINER/NAMOR MA, LORD CHAOS, HULK/DR. ROBERT BRUC, DRACULA/VLAD TEPES, MCKEEVER, TINY, ZOTA, ANT-MAN/DR. HENRY J., CHANG, IMEI, JAMESON, J. JONAH, BLESSING, MORGANA, INVISIBLE WOMAN/SUE , NIGHTHAWK II/KYLE RI, THING/BENJAMIN J. GR, FEAR EATER/KKALLAKKU, DR. DOOM/VICTOR VON , CERBERUS, THOMPSON, EUGENE FLA, MR. FANTASTIC/REED R, SILVER DAGGER/ISAIAH, UMAR, EON, OSBORN, LIZ ALLAN, D'SPAYRE, HELA [ASGARDIAN], WASP/JANET VAN DYNE , RINTRAH, MEPHISTA, DEIMOS, CAPTAIN AMERICA, HYPERION, MARVEL GIRL/JEAN GRE, POWER PRINCESS/ZARDA, BALLANTINE, KAYLA, LEEDS, BETTY BRANT, LADY LARK/LINDA LEWI, SPIDER-MAN/PETER PAR, HOGAN, HAROLD J. HAP, THOR/DR. DONALD BLAK"
DOLLAR BILL,"NIGHTHAWK II/KYLE RI, DEVIL-SLAYER/ERIC SI, RED GUARDIAN III/DR., HULK/DR. ROBERT BRUC, NORRISS, SISTER BARB, HELLCAT/PATSY WALKER, DR. STRANGE/STEPHEN "
HELLCAT/PATSY WALKER,"NIGHTHAWK II/KYLE RI, DEVIL-SLAYER/ERIC SI, RED GUARDIAN III/DR., HULK/DR. ROBERT BRUC, NORRISS, SISTER BARB, DOLLAR BILL, DR. STRANGE/STEPHEN "
NIGHTHAWK II/KYLE RI,"DEVIL-SLAYER/ERIC SI, RED GUARDIAN III/DR., HULK/DR. ROBERT BRUC, NORRISS, SISTER BARB, DOLLAR BILL, HELLCAT/PATSY WALKER, DR. STRANGE/STEPHEN "
DEVIL-SLAYER/ERIC SI,"NIGHTHAWK II/KYLE RI, RED GUARDIAN III/DR., HULK/DR. ROBERT BRUC, NORRISS, SISTER BARB, DOLLAR BILL, HELLCAT/PATSY WALKER, DR. STRANGE/STEPHEN "
"NORRISS, SISTER BARB","DEVIL-SLAYER/ERIC SI, STAR THIEF II, MR. FANTASTIC/REED R, KUBIK, ANDROMEDA/ANDROMEDA , HELLCAT/PATSY WALKER, INTERLOPER, MANSLAUGHTER, DR. STRANGE/STEPHEN , MOONDRAGON/HEATHER D, RED GUARDIAN III/DR., HULK/DR. ROBERT BRUC, HUMAN TORCH/JOHNNY S, ANGEL/WARREN KENNETH, SOUTHERN, CANDY, CLOUD, GARGOYLE II/ISAAC CH, ICEMAN/ROBERT BOBBY , NIGHTHAWK II/KYLE RI, BEAST/HENRY &HANK& P, DRAGON OF THE MOON, DOLLAR BILL, BEYONDER"
"BANNER, BETTY ROSS T","QUICKSILVER/PIETRO M, WARLOCK II/ADAM WARL, CRYSTAL [INHUMAN], BRICKFORD, CLAY, LOCKJAW [INHUMAN], SUB-MARINER/NAMOR MA, HULK/DR. ROBERT BRUC, ROBERTS, TED, CORBEAU, DR. PETER, ANALYZER, TRITON, MARVEL GIRL/JEAN GRE, GORGON [INHUMAN], MASTERMIND/JASON WYN, KARNAK [INHUMAN], COBALT MAN, WILSON, JIM, JONES, RICHARD MILHO, BOOMERANG/FRED MYERS, BLACK BOLT/BLACKANTO, CYCLOPS/SCOTT SUMMER, JUGGERNAUT/CAIN MARK, MISSING LINK, ABOMINATION/EMIL BLO, TALBOT, GLENN, RHINO, ROSS, GEN. THADDEUS , MAN-BEAST, ARMBRUSTER, COLONEL , PROFESSOR X/CHARLES "
"ROSS, GEN. THADDEUS ","WARLOCK II/ADAM WARL, BRICKFORD, CLAY, SUB-MARINER/NAMOR MA, HULK/DR. ROBERT BRUC, ROBERTS, TED, BANNER, BETTY ROSS T, CORBEAU, DR. PETER, ANALYZER, MARVEL GIRL/JEAN GRE, MASTERMIND/JASON WYN, WILSON, JIM, COBALT MAN, JONES, RICHARD MILHO, BOOMERANG/FRED MYERS, CYCLOPS/SCOTT SUMMER, JUGGERNAUT/CAIN MARK, MISSING LINK, ABOMINATION/EMIL BLO, TALBOT, GLENN, RHINO, MAN-BEAST, ARMBRUSTER, COLONEL , PROFESSOR X/CHARLES "
COBALT MAN,"HULK/DR. ROBERT BRUC, MASTERMIND/JASON WYN, ROBERTS, TED, BANNER, BETTY ROSS T, ROSS, GEN. THADDEUS , ARMBRUSTER, COLONEL "
MASTERMIND/JASON WYN,"HULK/DR. ROBERT BRUC, ROBERTS, TED, BANNER, BETTY ROSS T, ROSS, GEN. THADDEUS , COBALT MAN, ARMBRUSTER, COLONEL "
"ROBERTS, TED","QUICKSILVER/PIETRO M, KUKULCAN/VIRAKO/QUET, EL TIGRE, TOLOC, HULK/DR. ROBERT BRUC, LOCUST, BANNER, BETTY ROSS T, ANGEL/WARREN KENNETH, BANSHEE/SEAN CASSIDY, OGRE, MARVEL GIRL/JEAN GRE, RAMON, MASTERMIND/JASON WYN, ICEMAN/ROBERT BOBBY , COBALT MAN, SCARLET WITCH/WANDA , CANTOR, VERA, BEAST/HENRY &HANK& P, CYCLOPS/SCOTT SUMMER, ROSS, GEN. THADDEUS , MIMIC/CALVIN RANKIN, SPIDER-MAN/PETER PAR, ARMBRUSTER, COLONEL , PUPPET MASTER/PHILLI, PROFESSOR X/CHARLES , ZELDA"
"ARMBRUSTER, COLONEL ","MARVEL GIRL/JEAN GRE, HULK/DR. ROBERT BRUC, MASTERMIND/JASON WYN, JUGGERNAUT/CAIN MARK, ABOMINATION/EMIL BLO, CYCLOPS/SCOTT SUMMER, ROBERTS, TED, RHINO, BANNER, BETTY ROSS T, ROSS, GEN. THADDEUS , CORBEAU, DR. PETER, WILSON, JIM, COBALT MAN, MISSING LINK, BRICKFORD, CLAY, PROFESSOR X/CHARLES "
GORGON [INHUMAN],"QUICKSILVER/PIETRO M, LOCKJAW [INHUMAN], TRITON, BLACK BOLT/BLACKANTO, HULK/DR. ROBERT BRUC, BANNER, BETTY ROSS T, CRYSTAL [INHUMAN], KARNAK [INHUMAN]"
LOCKJAW [INHUMAN],"QUICKSILVER/PIETRO M, TRITON, BLACK BOLT/BLACKANTO, GORGON [INHUMAN], HULK/DR. ROBERT BRUC, BANNER, BETTY ROSS T, CRYSTAL [INHUMAN], KARNAK [INHUMAN]"
CRYSTAL [INHUMAN],"QUICKSILVER/PIETRO M, TRITON, BLACK BOLT/BLACKANTO, LOCKJAW [INHUMAN], GORGON [INHUMAN], HULK/DR. ROBERT BRUC, BANNER, BETTY ROSS T, KARNAK [INHUMAN]"
BLACK BOLT/BLACKANTO,"QUICKSILVER/PIETRO M, TRITON, LOCKJAW [INHUMAN], GORGON [INHUMAN], HULK/DR. ROBERT BRUC, BANNER, BETTY ROSS T, CRYSTAL [INHUMAN], KARNAK [INHUMAN]"
TRITON,"QUICKSILVER/PIETRO M, LOCKJAW [INHUMAN], BLACK BOLT/BLACKANTO, GORGON [INHUMAN], HULK/DR. ROBERT BRUC, BANNER, BETTY ROSS T, CRYSTAL [INHUMAN], KARNAK [INHUMAN]"
KARNAK [INHUMAN],"QUICKSILVER/PIETRO M, LOCKJAW [INHUMAN], BLACK BOLT/BLACKANTO, TRITON, GORGON [INHUMAN], HULK/DR. ROBERT BRUC, BANNER, BETTY ROSS T, CRYSTAL [INHUMAN]"
WARLOCK II/ADAM WARL,"SILVER DAGGER/ISAIAH, DR. STRANGE/STEPHEN , BARON BLOOD II/VICTO, TOPAZ, HULK/DR. ROBERT BRUC, SILVER SURFER/NORRIN, AGAMOTTO, BANNER, BETTY ROSS T, ANALYZER, RINTRAH, CLEA, WOLFE, SARA, PIP/PRINCE GOFERN, DR. DRUID/ANTHONY LU, CHANG, IMEI, WONG, GAMORA, SCARLET WITCH/WANDA , BLESSING, MORGANA, DR. DOOM/VICTOR VON , ETERNITY/ADAM QADMON, ROSS, GEN. THADDEUS , MAN-BEAST"
ANALYZER,"HULK/DR. ROBERT BRUC, WARLOCK II/ADAM WARL, ROSS, GEN. THADDEUS , BANNER, BETTY ROSS T, MAN-BEAST"
MAN-BEAST,"HULK/DR. ROBERT BRUC, WARLOCK II/ADAM WARL, ROSS, GEN. THADDEUS , BANNER, BETTY ROSS T, ANALYZER"
ABOMINATION/EMIL BLO,"HULK/DR. ROBERT BRUC, RHINO, ROSS, GEN. THADDEUS , BANNER, BETTY ROSS T, WILSON, JIM, ARMBRUSTER, COLONEL "
RHINO,"HULK/DR. ROBERT BRUC, ABOMINATION/EMIL BLO, BANNER, BETTY ROSS T, ROSS, GEN. THADDEUS , WILSON, JIM, ARMBRUSTER, COLONEL "
"WILSON, JIM","MARVEL GIRL/JEAN GRE, HULK/DR. ROBERT BRUC, CYCLOPS/SCOTT SUMMER, JUGGERNAUT/CAIN MARK, ABOMINATION/EMIL BLO, RHINO, BANNER, BETTY ROSS T, ROSS, GEN. THADDEUS , CORBEAU, DR. PETER, ARMBRUSTER, COLONEL , PROFESSOR X/CHARLES "
JUGGERNAUT/CAIN MARK,"MARVEL GIRL/JEAN GRE, CYCLOPS/SCOTT SUMMER, HULK/DR. ROBERT BRUC, CORBEAU, DR. PETER, BANNER, BETTY ROSS T, ROSS, GEN. THADDEUS , WILSON, JIM, ARMBRUSTER, COLONEL , PROFESSOR X/CHARLES "
PROFESSOR X/CHARLES ,"QUICKSILVER/PIETRO M, MAJOR DOMO, KUKULCAN/VIRAKO/QUET, EL TIGRE, JUBILEE/JUBILATION L, STORM/ORORO MUNROE S, PORCUPINE/ALEX GENTR, FREDERICKS, GENERAL, BLOB/FRED J. DUKES, SUPREME ONE, MOJO, ROGUE /, HENDERSHOOT, COLONEL, PLANTMAN/SAM SMITHER, TOLOC, HULK/DR. ROBERT BRUC, LOCUST, EEL/LEOPOLD STRYKE, ROBERTS, TED, CORBEAU, DR. PETER, BANNER, BETTY ROSS T, GAMBIT/REMY LEBEAU , ANGEL/WARREN KENNETH, KAUR, BENAZIR, BANSHEE/SEAN CASSIDY, SCARECROW/EBENEZER L, SUPER-ADAPTOID/ALESS, UNUS THE UNTOUCHABLE, QUARK, OGRE, MAGOG II, SHAW, SHINOBI, MARVEL GIRL/JEAN GRE, RAMON, BISHOP /, KINE, BENEDICT, ICEMAN/ROBERT BOBBY , PENANCE/MONET ST. CR, FORGE, WILSON, JIM, GOG III, PSYLOCKE/ELISABETH B, LUCIFER, SCARLET WITCH/WANDA , JARVIS, EDWIN , COUNT NEFARIA, LUCHI, CANTOR, VERA, ARIZE, BEAST/HENRY &HANK& P, CYCLOPS/SCOTT SUMMER, JUGGERNAUT/CAIN MARK, WOLVERINE/LOGAN , DOMINUS, ROSS, GEN. THADDEUS , MIMIC/CALVIN RANKIN, SPIDER-MAN/PETER PAR, UNICORN/MYLOS MASARY, ARMBRUSTER, COLONEL , PAYGE, REEVA, PUPPET MASTER/PHILLI, ZELDA"
"CORBEAU, DR. PETER","MARVEL GIRL/JEAN GRE, HULK/DR. ROBERT BRUC, JUGGERNAUT/CAIN MARK, CYCLOPS/SCOTT SUMMER, ROSS, GEN. THADDEUS , BANNER, BETTY ROSS T, WILSON, JIM, ARMBRUSTER, COLONEL , PROFESSOR X/CHARLES "
"BRICKFORD, CLAY","HULK/DR. ROBERT BRUC, MISSING LINK, BANNER, BETTY ROSS T, ROSS, GEN. THADDEUS , ARMBRUSTER, COLONEL "
MISSING LINK,"HULK/DR. ROBERT BRUC, BANNER, BETTY ROSS T, ROSS, GEN. THADDEUS , BRICKFORD, CLAY, ARMBRUSTER, COLONEL "
"STACY, PAUL","STACY, ARTHUR, PARKER, MAY, VENOM/EDDIE BROCK, SPIDER-MAN/PETER PAR, STACY, JILL"
VENOM/EDDIE BROCK,"STACY, ARTHUR, PARKER, MAY, SPIDER-MAN/PETER PAR, STACY, PAUL, STACY, JILL"
"PARKER, MAY","DR. OCTOPUS/OTTO OCT, VULTURE/ADRIAN TOOME, JACK, DAREDEVIL/MATT MURDO, GREEN GOBLIN III/BAR, HUMAN TORCH/JOHNNY S, BULLSEYE II/BENJAMIN, RAVEN, LT. JACOB, SILVERMANE/SILVIO MA, MORGAN, PULASKI, JOSEPHINE J, WARD, SEN. STEWART, IONELLO, JASON, TOKKOTS, SHIFFMAN, MAXIE, BEAST/HENRY &HANK& P, RINGMASTER/MAYNARD T, LUBENSKI, NATE, STACY, PAUL, SHA SHAN, TOMBSTONE/LONNIE THO, CANNONBALL/JACK PULV, SANDMAN/WILLIAM BAKE, GRANT, GLORIA GLORY, ANGEL/WARREN KENNETH, KINGPIN/WILSON FISK, CHAMELEON/DMITRI SME, WATSON-PARKER, MARY , MCCORMICK, BARRY, BROMWELL, DR., STACY, ARTHUR, MYSTERIO/QUENTIN BEC, TREVANE, DET. CONNOR, ICEMAN/ROBERT BOBBY , LIZARD/DR. CURTIS CO, WONG, JACKAL/MILES WARREN, CYCLOPS/SCOTT SUMMER, MONTANA, BIG MAN/FREDERICK FO, EVANS, DORIS, ELLIS, KEN, ROBERTSON, JOE, PAGE, KAREN, GAMBONNO, LUIGI, IRON MAN/TONY STARK , WARREN, MR., GREEN GOBLIN/NORMAN , GAMBONNO, ERNESTO, SUNDOWN/DR. DAVE LOW, SUB-MARINER/NAMOR MA, HULK/DR. ROBERT BRUC, MCKEEVER, TINY, WATSON, ANNA, STACY, JILL, ANT-MAN/DR. HENRY J., VENOM/EDDIE BROCK, LEEDS, NED, GRIM HUNTER/KRAVINOF, JAMESON, J. JONAH, THOMPSON, EUGENE FLA, KAINE, INVISIBLE WOMAN/SUE , THING/BENJAMIN J. GR, OSBORN, HARRY, SPIDER-MAN CLONE/BEN, MORBIUS/DR. MICHAEL , GUARDIAN IV, FROG-MAN II/EUGENE P, KRAVEN THE HUNTER/SE, FAIRMONT, HANNAH, MR. FANTASTIC/REED R, OSBORN, LIZ ALLAN, DR. STRANGE/STEPHEN , WASP/JANET VAN DYNE , NELSON, FRANKLIN FOG, THUNDERBALL/DR. ELIO, FOREIGNER/RAFAEL BAS, TARANTULA/ANTON MIGU, CAPTAIN AMERICA, CAPUTO, DR. JULIA, OX, MARVEL GIRL/JEAN GRE, LIGHTMASTER/EDWARD L, LEEDS, BETTY BRANT, BYRNES, GAYLE WATSON, SPIDER-MAN/PETER PAR, SPIDERCIDE, BRUTO THE STRONGMAN/, HOGAN, HAROLD J. HAP, FANCY DAN, THOR/DR. DONALD BLAK"
"STACY, ARTHUR","THOMPSON, EUGENE FLA, PARKER, MAY, DR. OCTOPUS/OTTO OCT, VENOM/EDDIE BROCK, SPIDER-MAN/PETER PAR, STACY, PAUL, BULLSEYE II/BENJAMIN, KINGPIN/WILSON FISK, WARD, SEN. STEWART, LEEDS, BETTY BRANT, STACY, JILL, WATSON-PARKER, MARY "
"STACY, JILL","THOMPSON, EUGENE FLA, STACY, ARTHUR, PARKER, MAY, ROBERTSON, JOE, DR. OCTOPUS/OTTO OCT, FORTUNATO, GIACOMO J, MORBIUS/DR. MICHAEL , VENOM/EDDIE BROCK, SPIDER-MAN/PETER PAR, STACY, PAUL, KINGPIN/WILSON FISK, BULLSEYE II/BENJAMIN, BLADE, WARD, SEN. STEWART, LEEDS, BETTY BRANT, WATSON-PARKER, MARY "
BLADE,"ROBERTSON, JOE, FORTUNATO, GIACOMO J, MORBIUS/DR. MICHAEL , SPIDER-MAN/PETER PAR, KINGPIN/WILSON FISK, LEEDS, BETTY BRANT, STACY, JILL"
"ROBERTSON, JOE","FORTUNATO, GIACOMO J, TRAINER, DR. SEWARD, JACK, PARKER, MAY, GREEN GOBLIN III/BAR, GRANT, GLORIA GLORY, KINGPIN/WILSON FISK, WATSON, ANNA, STACY, JILL, WATSON-PARKER, MARY , TARANTULA/ANTON MIGU, SILVERMANE/SILVIO MA, TREVANE, DET. CONNOR, LIGHTMASTER/EDWARD L, BUCKNER, GRANT, LIZARD/DR. CURTIS CO, BLADE, JAMESON, J. JONAH, LEEDS, BETTY BRANT, KAINE, THOMPSON, EUGENE FLA, STUNNER/ANGELINA BRA, OSBORN, HARRY, MORBIUS/DR. MICHAEL , SPIDER-MAN CLONE/BEN, SPIDER-MAN/PETER PAR, GUARDIAN IV, SPIDERCIDE, KRAVEN THE HUNTER/SE, ELLIS, KEN, RAVEN, LT. JACOB, SHA SHAN"
"FORTUNATO, GIACOMO J","ROBERTSON, JOE, MORBIUS/DR. MICHAEL , SPIDER-MAN/PETER PAR, KINGPIN/WILSON FISK, BLADE, LEEDS, BETTY BRANT, STACY, JILL"
MORBIUS/DR. MICHAEL ,"THOMPSON, EUGENE FLA, ROBERTSON, JOE, PARKER, MAY, FORTUNATO, GIACOMO J, GRANT, GLORIA GLORY, SHA SHAN, SPIDER-MAN/PETER PAR, MORGAN, KINGPIN/WILSON FISK, BLADE, WATSON, ANNA, LEEDS, BETTY BRANT, STACY, JILL, WATSON-PARKER, MARY "
